id,kayapo,ingles,linha_original
1,ba muw,I cry,ba muw  I cry
2,ba muw,I cried,ba muw	I cried
3,ba ngõr I,sleep,ba ngõr I sleep
4,ba ngõr I,slep,ba ngõr I slep
5,ba mrã,I walk,ba mrã	I walk
6,ba mrã,I walked,ba mrã	I walked
7,ga muw,you cry,ga muw	you cry
8,ga muw,you cried,ga muw	you cried
9,ga ngõr you,sleep,ga ngõr you sleep
10,ga ngõr you,slept,ga ngõr you slept
11,ga mrã,you walk,ga mrã	you walk
12,ga mrã,you walked,ga mrã	you walked
13,kôkôti muw,kôkôti cry,kôkôti muw	kôkôti cry
14,kôkôti muw,kôkôti cried,kôkôti muw	kôkôti cried
15,kôkôti ngõr kôkôti,sleep,kôkôti ngõr kôkôti sleep
16,kôkôti ngõr kôkôti,slept,kôkôti ngõr kôkôti slept
17,kôkôti mrã,kôkôti walk,kôkôti mrã	kôkôti walk
18,kôkôti mrã,kôkôti walked,kôkôti mrã	kôkôti walked
19,# muw,he cries,# muw	 he cries
20,# muw,he cried,# muw	 he cried
21,# ngõr,he sleeps,# ngõr	he sleeps
22,# ngõr,he slept,# ngõr	he slept
23,# mrã,he walks,# mrã	 he walks
24,# mrã,he walked,# mrã	 he walked
25,gu me muw,we cry,gu me muw	 we cry
26,gu me muw,we cried,gu me muw	 we cried
27,gu me ngõr,we sleep,gu me ngõr	we sleep
28,gu me ngõr,we slept,gu me ngõr	we slept
29,gu me mrã,we walk,gu me mrã	 we walk
30,gu me mrã,we walked,gu me mrã	 we walked
31,ba me muw,we cry,ba me muw	 we cry
32,ba me muw,we cried,ba me muw	 we cried
33,ba me ngõr,we sleep,ba me ngõr	we sleep
34,ba me ngõr,we slept,ba me ngõr	we slept
35,ba me mrã,we walk,ba me mrã	 we walk
36,ba me mrã,we walked,ba me mrã	 we walked
37,gar muw we,cry,gar muw we cry
38,gar muw we,cried,gar muw we cried
39,gar ngõr,we sleep,gar ngõr		we sleep
40,gar ngõr,we slept,gar ngõr		we slept
41,gar mrã,we walk,gar mrã	 we walk
42,gar mrã,we walked,gar mrã	 we walked
43,me muw,they cry,me muw	they cry
44,me muw,they cried,me muw	they cried
45,me ngõr they,sleep,me ngõr they sleep
46,me ngõr they,slept,me ngõr they slept
47,me mrã,they walk,me mrã	they walk
48,me mrã,they walked,me mrã	they walked
49,ba môp kaba I dig,cará,ba môp kaba I dig cará
50,ba jàt kaba I dig,yams,ba jàt kaba I dig yams
51,ba kwỳr kaba I dig,manioc,ba kwỳr kaba I dig manioc
52,ba tyrti kaba I dig,bananas,ba tyrti kaba I dig bananas
53,ba môp kaba I dig,cará,ba môp kaba I dig cará
54,ba krãtỳx ngre kaba I dig the turtle,eggs,ba krãtỳx ngre kaba I dig the turtle eggs
55,ba kà kaba,I skinned the animal,ba kà kaba	I skinned the animal
56,ba karõ kaba,I took the photograph,ba karõ kaba		I took the photograph
57,ba krãtỳx ngre kaba I dig the turtle,eggs,ba krãtỳx ngre kaba I dig the turtle eggs
58,ba krãtỳx ngre kaba I dig the turtle,eggs,ba krãtỳx ngre kaba I dig the turtle eggs
59,ba môp kaba I dug,cará,ba môp kaba I dug cará
60,ga môp kaba you dug,cará,ga môp kaba you dug cará
61,gwaj môp kaba,we dug cará,gwaj môp kaba	 we dug cará
62,gu me môp kaba,we dug cará,gu me môp kaba	we dug cará
63,ar môp kaba they dug,cará,ar môp kaba they dug cará
64,me môp kaba they dug,cará,me môp kaba they dug cará
65,ba môp kaba I dug,cará,ba môp kaba I dug cará
66,ba môp krẽ,I ate cará,ba môp krẽ	I ate cará
67,ba môp kre,I planted cará,ba môp kre	I planted cará
68,ba môp ga,I baked cará in an earth oven,ba môp ga	 I baked cará in an earth oven
69,ba môp tu,I carried cará in a basket,ba môp tu	 I carried cará in a basket
70,ba môp kaba I dug,cará,ba môp kaba I dug cará
