reference,prediction
nhym ar kute me kabẽn mar kêt.,- le martin luther rey?
16 Ne birãm atekam Kritukam gwaj,ace d'ace deuce aem amn annãn.
"bar akubyn tĩnkôt omũnh krãptĩ, anhỹro",C'est la raison que les gens appellent à ce lieu 'Escape Rock.
o bôx. Kubê mebê idjaer'õ. Nhym kam,25 n'a n a n n m a r a a m n e n k a d a t a b a p ar a
me kunĩ dja me tu amim Jeju markumrẽx,Il m'a dit que tu t'enrr.
"me abêkam, amã Metĩndjwỳnh nhõ me ja",Je ne m'a a m a n a.
5 Djã nã gãm ar Môjdjê kukràdjà man kôt,Nãrjãnnjnãmnênmjêmêjjmãjámmhnán.
bikẽnhmã? Kati. Dja memã tỳx jadjà,"""Ah, ahh."
kabẽn jarẽnhkam me'õ kabẽnbê jãm krãn,Ajã ahhãhmã kããnãmháhnh.
"Metĩndjwỳnh'ỳr o akẽx. Ne amiman amim,","ahmhhãh, ajãnh."
"bakadjy ano. Me ba ba, Metĩndjwỳnh kute",n'a n a n m a a r a m n n i a d a t a i n e n o n  a k a .
21 Djãm aje tu mỳjjao aba ne aje tu mry'õ,Ilai d'Ahoh.
axwe kêtkumrẽx. Tãm ne Metĩndjwỳnh ar,atom amátmãtãmnãnmm.
kàkam nhỹn arỳm nox ne.,bêmê mêdêjê kênêkêhmãjmájãhãmhê.
tu kôt o kangõ. Ta ne me krãptĩ:kôt o kangõ.,"25 David, les dirigeants israéliens et les officiers de l'organisation mondiale de la santé nere am ar"
Nhym o bipdjur'ã mytyrwỳ amãnhkrut ne,Vais-tu continuer a nous rejeter pour toujours [RHQ?
bajamak kêt kati prãm kêtkumrẽx.,n'ont pas été arados à beaucoup d'années;
Nàr me kute kadjwati kangôkam* bibãnh,Ils l'ont untêmênês mêdêrê.
me àpênh te kute meo àpanhmã ne te kute,"-Ahh, ah."
jênh kajkrit mrybê utĩ kêt pyràk. Kam dja,n'est-n' a a t a n a m a r a d ar an am a k a ã n n  a b a p a e n m n o n e m e r n r e a g a.
Metĩndjwỳnh'ã ujarẽnho dja. Nhym me'õ,Vivam ahmm!
bakadjy bôx. Gora gê me kàjkwakamdjwỳ,Il les garde à l'abri.
"15 Nhym me kàj bê kum,",Atom n. 2 a atôm a têmên.
ikràn ikrà nhym Xatanaj mã: ar ikukrà.,ou percing leur naso con les dents d'une trapã.
jarẽ. Dja ar aje Jejukôt abeno akamy kwỳ,pour qu'ils ne puissent continuer à se vanter.
Pirpu 4:23,Mexx m'a honnêm.
